Account address,Show boosts,Notify on new posts,Languages
pauleaman@masto.ai,true,false,
Lats@aus.social,true,false,
Hypx@mastodon.social,true,false,
andrewdessler@mastodon.world,true,false,
advisorybriefs@mas.to,true,false,
ajsadauskas@aus.social,true,false,
Gargron@mastodon.social,true,false,
Adam_Cadmon1@mastodon.online,true,false,
freakazoid@retro.social,true,false,
johl@mastodon.xyz,true,false,
stationkeeper@masto.ai,true,false,
IdoLiven@masto.ai,true,false,
verdantdavid@aus.social,true,false,
mikestevens@aus.social,true,false,
chaser@mastodon.au,true,false,
davidg@mastodon.au,true,false,
tinfoilhat@nzsocial.net,true,false,
ecoscore@aus.social,true,false,
relwalretep@mastodon.sdf.org,true,false,
hlabrande@mstdn.ca,true,false,
gwenbeads@mathstodon.xyz,true,false,
montepaulsen@mstdn.ca,true,false,
announcements@producttalk.org,true,false,
CraigWeekend@mstdn.ca,true,false,
garykrysztopik@techhub.social,true,false,
michaelgemar@mstdn.ca,true,false,
matthew_d_green@ioc.exchange,true,false,
tallship@social.sdf.org,true,false,
scerruti@csed.social,true,false,
mattontech@mastodon.sdf.org,true,false,
bambipotf@sfba.social,true,false,
dave@mastodon.solar,true,false,
CarbonBubble@mastodon.energy,true,false,
billweil@mastodon.energy,true,false,
DataDrivenMD@fedified.com,true,false,
peoplenature@mastodon.world,true,false,
anildash@me.dm,true,false,
marcopeco@techhub.social,true,false,
CascadiaCAN@climatejustice.rocks,true,false,
Andy_Gheorghiu@universeodon.com,true,false,
johncarlosbaez@mathstodon.xyz,true,false,
Victor@spore.social,true,false,
AutisticMumTo3@mastodon.uk.com,true,false,
mikemccaffrey@wandering.shop,true,false,
lakens@mastodon.social,true,false,
jon@vivaldi.net,true,false,
croselund@mastodon.energy,true,false,
haikubot@mastodon.cloud,true,false,
cstross@wandering.shop,true,false,
mzedp@mastodon.energy,true,false,
Eunakria@mastodon.online,true,false,
roygrubb@mastodon.green,true,false,
joedangerdan@mastodon.social,true,false,
SebasFC@mastodont.cat,true,false,
richardwerskine@toot.community,true,false,
sixtus@mastodon.social,true,false,
simonblackley@mastodon.online,true,false,
Super_Pieton@framapiaf.org,true,false,
jabjoe@mastodonapp.uk,true,false,
burger_jaap@mastodon.social,true,false,
sheath@mastodon.world,true,false,
alex@mace.social,true,false,
lcamtuf@infosec.exchange,true,false,
osi@opensource.org,true,false,
greenaspen@mastodon.scot,true,false,
industrydecarbonization@mastodon.online,true,false,
elliemcohen1@mastodon.social,true,false,
Casey@mastodon.green,true,false,
gretathunberg@mastodon.nu,true,false,
QuantaMagazine@mstdn.social,true,false,
mikejelfs@mastodonapp.uk,true,false,
KimSJ@mastodon.social,true,false,
gretared@vis.social,true,false,
EHertwich@mstdn.social,true,false,
StayGrounded_net@mastodon.social,true,false,
KlausGerdGiesen@mastodon.social,true,false,
catherinerowett@respublicae.eu,true,false,
corporateeurope@mstdn.social,true,false,
JaneGray@mastodon.social,true,false,
nathaliaassaad@mastodon.world,true,false,
klimateriet@mastodon.online,true,false,
krlvi@sigmoid.social,true,false,
anttipeltola@mastodon.world,true,false,
proactivepaul@mastodon.social,true,false,
dmoser@mastodon.social,true,false,
stephenfleming@mastodon.social,true,false,
WWBugs@mstdn.social,true,false,
geerlingguy@mastodon.social,true,false,
lazurski@chaos.social,true,false,
EtiOst@mastodon.world,true,false,
Bandivadekar@mastodon.green,true,false,
8eau@mastodontech.de,true,false,
leafn4give@mastodonapp.uk,true,false,
afelia@chaos.social,true,false,
jimbodie@mstdn.social,true,false,
JamesGleick@zirk.us,true,false,
Fabio_Galletti_@mastodon.uno,true,false,
brad262run@mastodon.online,true,false,
tess@mastodon.social,true,false,
Strandjunker@mstdn.social,true,false,
richardknott@mastodon.social,true,false,
peterlhansen@mastodon.social,true,false,
tofugolem@mastodon.social,true,false,
drvolts@journa.host,true,false,
devanubis@mastodon.online,true,false,
denki@mastodontech.de,true,false,
schafer@ohai.social,true,false,
andyclayton@mastodonapp.uk,true,false,
bobwyman@mastodon.social,true,false,
Sheril@mastodon.social,true,false,
natematias@social.coop,true,false,
VeryBadLlama@mas.to,true,false,
randometc@mastodon.social,true,false,
nemeciii@mastodon.social,true,false,
nattyover@sciencemastodon.com,true,false,
conansysadmin@mstdn.social,true,false,
MalthusJohn@c.im,true,false,
CelloMomOnCars@mastodon.social,true,false,
ernie@writing.exchange,true,false,
dangillmor@mastodon.social,true,false,
InfopointA@det.social,true,false,
MeanwhileinCanada@ohai.social,true,false,
petergleick@fediscience.org,true,false,
darrylxxx@mastodon.ie,true,false,
gwagner@fediscience.org,true,false,
ProjectPhysX@mast.hpc.social,true,false,
josephgruber@josephgruber.space,true,false,
wilf@social.coop,true,false,
LukaszHorodecki@pol.social,true,false,
tzanio@hachyderm.io,true,false,
sahra_wagenknecht@social.linksfraktion.de,true,false,
dmitri@mas.to,true,false,
jedbrown@hachyderm.io,true,false,
paulg@mas.to,true,false,
shansterable@c.im,true,false,
gkalinkat@det.social,true,false,
agrinsted@fediscience.org,true,false,
tristramg@mamot.fr,true,false,
Zitzero@julialang.social,true,false,
ben@werd.social,true,false,
TimHarford@econtwitter.net,true,false,
